CardNumber,MemberID,OrderID,Timestamp,ProductID,ProdName1,Category,DepartCode,NetPrice,Quantity,Gender
1103205104,S001000,S0001000001,2026-05-03 00:00:00,P00011,Rice Ball,FFD,FFD,11.68,2,0
1786086991,S001000,S0001000001,2026-05-03 00:00:00,P00019,Ice Cream Cup,FFD,FFD,13.73,2,0
2625247518,S001000,S0001000001,2026-05-03 00:00:00,P00013,Magazine,MAG,MAG,19.77,3,0
8374137409,S001000,S0001000001,2026-05-03 00:00:00,P00009,Chocolate Bar,SNK,SNK,8.41,1,0
8400177066,S001000,S0001000002,2026-05-09 00:00:00,P00006,Bread White,GRO,BAK,78.42,2,0
9711042117,S001000,S0001000002,2026-05-09 00:00:00,P00011,Rice Ball,FFD,FFD,34.55,1,0
5974592904,S001000,S0001000002,2026-05-09 00:00:00,P00015,Shampoo 200ml,HBA,HBA,27.64,1,0
3438598531,S001000,S0001000002,2026-05-09 00:00:00,P00018,Chewing Gum,SNK,SNK,50.83,3,0
9412517105,S001000,S0001000002,2026-05-09 00:00:00,P00011,Rice Ball,FFD,FFD,6.43,3,0
5912409335,S001000,S0001000002,2026-05-09 00:00:00,P00012,Cigarette A,TBC,TBC,58.73,3,0
6889318202,S001000,S0001000003,2026-05-19 00:00:00,P00016,Tissue Box,HOU,HOU,57.84,3,0
1901796957,S001000,S0001000003,2026-05-19 00:00:00,P00009,Chocolate Bar,SNK,SNK,47.56,1,0
5664443095,S001000,S0001000003,2026-05-19 00:00:00,P00003,Water 750ml,BEV,DAI,100.64,1,0
6379351413,S001000,S0001000003,2026-05-19 00:00:00,P00010,Sandwich Ham,FFD,FFD,36.88,1,0
2305838729,S001000,S0001000004,2026-05-28 00:00:00,P00004,Green Tea 500ml,BEV,DAI,11.47,2,0
3101010161,S001000,S0001000004,2026-05-28 00:00:00,P00020,Orange Juice 1L,BEV,DAI,75.76,2,0
3547173547,S001000,S0001000004,2026-05-28 00:00:00,P00013,Magazine,MAG,MAG,15.08,3,0
9767150034,S001000,S0001000004,2026-05-28 00:00:00,P00019,Ice Cream Cup,FFD,FFD,111.45,1,0
1123079414,S001000,S0001000004,2026-05-28 00:00:00,P00006,Bread White,GRO,BAK,91.37,1,0
2807328085,S001000,S0001000004,2026-05-28 00:00:00,P00008,Potato Chips,SNK,SNK,106.73,2,0
6758201232,S001000,S0001000005,2026-06-02 00:00:00,P00011,Rice Ball,FFD,FFD,36.15,3,0
7094636078,S001000,S0001000005,2026-06-02 00:00:00,P00011,Rice Ball,FFD,FFD,13.89,3,0
6448279531,S001000,S0001000006,2026-06-02 00:00:00,P00003,Water 750ml,BEV,DAI,67.59,2,0
9251897067,S001000,S0001000007,2026-06-02 00:00:00,P00009,Chocolate Bar,SNK,SNK,58.12,3,0
2960676045,S001000,S0001000008,2026-06-02 00:00:00,P00018,Chewing Gum,SNK,SNK,6.67,2,0
5383010144,S001000,S0001000009,2026-06-02 00:00:00,P00006,Bread White,GRO,BAK,92.84,1,0
2827683552,S001000,S0001000009,2026-06-02 00:00:00,P00019,Ice Cream Cup,FFD,FFD,19.81,3,0
6734368503,S001000,S0001000009,2026-06-02 00:00:00,P00010,Sandwich Ham,FFD,FFD,44.09,2,0
6457931320,S001000,S0001000010,2026-06-02 00:00:00,P00020,Orange Juice 1L,BEV,DAI,79.08,3,0
7248490581,S001000,S0001000010,2026-06-02 00:00:00,P00004,Green Tea 500ml,BEV,DAI,37.42,3,0
9043381160,S001000,S0001000010,2026-06-02 00:00:00,P00010,Sandwich Ham,FFD,FFD,65.11,3,0
2657843695,S001000,S0001000010,2026-06-02 00:00:00,P00016,Tissue Box,HOU,HOU,47.68,3,0
